,pub_T0,sub_T0,pub_T1,sub_T1,pub_T2,sub_T2
3pub-3sub,3375.0,2636.3333333333335,3457.0,3451.0,3461.0,3455.0
3pub-5sub,3377.3333333333335,5273.666666666667,3455.0,5748.0,926.0,1575.0
3pub-7sub,3376.3333333333335,6738.0,3456.0,8013.0,3464.0,8023.0
3pub-9sub,3373.6666666666665,9646.333333333334,3457.0,10234.0,3460.0,10221.0
3pub-11sub,3366.0,11764.0,3543.0,12701.0,3465.0,12330.0
5pub-3sub,5636.666666666667,4145.666666666667,5759.0,5749.0,5775.0,5765.0
5pub-5sub,5643.0,10181.666666666666,5758.0,10348.0,5772.0,10371.0
5pub-7sub,5642.333333333333,12819.333333333334,5760.0,13801.0,5786.0,13863.0
5pub-9sub,5643.666666666667,16972.0,5758.0,17244.0,5777.0,17301.0
5pub-11sub,5648.0,19616.0,5892.0,21154.0,5785.0,20732.0
7pub-3sub,7936.666666666667,6060.333333333333,8014.0,8000.0,8083.0,8069.0
7pub-5sub,7941.333333333333,13638.666666666666,8016.0,13718.0,5282.0,9080.0
7pub-7sub,7928.666666666667,17024.0,8013.0,19426.0,8098.0,19633.0
7pub-9sub,7933.333333333333,22712.666666666668,8017.0,24009.0,8114.0,24300.0
7pub-11sub,7950.666666666667,27314.333333333332,8239.0,29374.0,8153.0,29068.0
9pub-3sub,9454.333333333334,7217.0,10297.0,10279.0,10379.0,10361.0
9pub-5sub,10208.666666666666,17044.0,10296.0,17129.0,10369.0,17252.0
9pub-7sub,10209.0,23860.333333333332,10300.0,23990.0,10424.0,24282.0
9pub-9sub,10211.0,28416.666666666668,10297.0,30837.0,277.0,819.0
9pub-11sub,10233.333333333334,37589.0,10562.0,38662.0,9501.0,34709.0
11pub-3sub,12538.333333333334,11039.666666666666,12911.0,12889.0,12692.0,12670.0
11pub-5sub,12531.0,19396.333333333332,12873.0,21029.0,12692.0,20732.0
11pub-7sub,12545.666666666666,28558.0,12909.0,29287.0,12758.0,28945.0
11pub-9sub,12523.666666666666,37631.0,12896.0,38622.0,12843.0,38463.0
11pub-11sub,12533.666666666666,46789.333333333336,12887.0,47952.0,6679.0,24622.0
